x,y,w,h,i_reye,j_reye,j_leye,i_leye,j_mouth,i_mouth,j_nose,i_nose,i_leye_box,j_leye_box,ewl,ehl,i_reye_box,j_reye_box,ewr,ehr,i,j
50,38,385,385,50,44,38,50,185,320,180,236,80,109,79,79,210,104,82,82,0,0
44,42,380,380,44,42,40,44,191,325,180,233,83,110,82,82,213,106,85,85,1,0
50,42,378,378,40,40,42,50,195,326,189,242,85,121,83,83,215,118,82,82,1,2
36,34,377,377,44,48,34,36,186,326,177,241,81,120,71,71,203,108,87,87,2,0
36,32,360,360,44,44,32,36,179,314,171,226,73,116,73,73,199,106,84,84,2,1
22,22,360,360,22,22,46,46,182,311,180,227,68,104,93,93,226,127,51,51,2,2
46,38,329,329,54,46,38,46,166,284,165,207,69,93,85,85,184,83,92,92,0,2
40,42,340,340,44,46,42,40,169,294,167,225,64,96,83,83,183,89,87,87,2,0
114,12,342,342,44,42,12,114,171,297,171,222,82,71,126,126,188,96,80,80,2,1
52,44,347,347,54,50,44,52,169,300,160,222,66,88,90,90,193,86,93,93,0,0
42,36,356,356,40,38,36,42,182,306,184,227,83,102,73,73,210,99,79,79,1,0
52,46,372,372,52,46,42,48,184,302,190,225,78,99,82,82,211,106,91,91,0,1
48,44,373,373,48,44,38,38,177,305,187,229,83,113,73,73,208,117,90,90,0,2
38,38,385,385,38,38,36,38,189,305,191,229,87,109,74,74,222,117,78,78,1,1
34,32,383,383,42,38,32,34,186,307,186,232,91,118,68,68,217,118,81,81,1,2
50,48,395,395,50,48,46,38,189,315,189,237,76,101,90,90,208,104,101,101,2,0
48,42,382,382,48,42,38,40,186,310,186,233,75,109,76,76,209,111,88,88,2,1
26,26,374,374,58,52,26,26,186,306,185,230,81,118,62,62,199,100,102,102,2,2
52,60,376,376,52,60,52,42,181,329,205,251,63,90,98,98,209,98,105,105,2,0
40,32,375,375,40,32,42,42,178,327,196,240,63,101,84,84,221,119,81,81,2,1
54,52,392,392,54,52,56,62,195,335,199,248,62,88,114,114,221,107,99,99,0,0
50,54,385,385,50,54,44,54,188,326,192,240,71,102,90,90,212,100,106,106,0,2
52,50,400,400,58,56,50,52,195,337,196,244,71,104,95,95,219,104,104,104,1,0
38,32,381,381,44,56,32,38,189,328,189,242,70,109,78,78,212,97,105,105,2,1
50,48,377,377,50,48,46,44,193,319,185,228,67,103,89,89,213,103,92,92,1,0
40,42,371,371,40,42,40,46,185,316,185,231,76,104,80,80,218,108,85,85,1,1
44,34,358,358,44,34,40,40,179,305,179,225,68,98,83,83,212,111,78,78,1,2
40,42,358,358,40,40,42,40,178,308,173,224,62,99,81,81,203,100,87,87,2,1
50,42,392,392,50,42,50,56,200,313,210,234,81,104,94,94,230,115,84,84,0,0
48,44,354,354,48,44,54,50,175,304,187,224,65,88,93,93,207,103,89,89,0,2
52,44,353,353,52,44,52,50,174,303,174,219,55,83,96,96,197,92,90,90,1,0
42,42,349,349,44,38,42,42,167,299,173,219,59,91,83,83,201,101,77,77,1,1
54,56,356,356,54,56,46,50,172,306,179,229,57,86,98,98,192,88,104,104,2,0
44,42,346,346,44,42,36,38,167,298,170,217,64,102,71,71,196,99,86,86,2,2
46,42,373,373,46,42,56,52,188,313,196,235,73,91,102,102,219,116,85,85,0,2
48,50,372,372,48,50,38,36,186,317,191,235,77,106,78,78,213,109,93,93,2,1
60,54,358,358,60,54,50,42,176,308,182,228,66,89,94,94,196,94,110,110,2,2
50,38,324,324,50,38,36,40,157,272,167,201,59,84,77,77,187,91,77,77,0,1
32,34,334,334,40,38,34,32,162,279,167,203,66,93,70,70,187,92,81,81,1,1
34,34,329,329,42,42,34,34,168,277,165,194,66,92,73,73,190,88,80,80,2,0
36,36,320,320,36,36,36,44,156,264,162,187,63,85,71,71,187,97,65,65,0,0
34,36,326,326,34,32,36,34,159,269,169,195,74,94,69,69,195,110,65,65,0,1
38,34,321,321,38,34,44,44,148,267,158,190,58,78,86,86,180,98,74,74,0,2
40,38,318,318,40,38,30,32,150,268,159,191,64,91,66,66,177,94,74,74,1,0
38,32,315,315,40,36,32,38,151,266,155,190,59,87,70,70,178,93,70,70,1,2
34,34,312,312,34,34,24,26,152,262,156,191,64,95,59,59,179,94,71,71,2,2
44,36,299,299,44,36,34,42,147,245,150,179,55,77,71,71,165,86,70,70,0,0
38,38,301,301,38,38,38,40,145,245,147,179,54,74,70,70,166,78,73,73,1,0
42,34,306,306,42,34,36,40,148,245,150,182,58,80,68,68,170,85,69,69,1,1
34,26,303,303,38,32,26,34,150,244,153,185,65,89,59,59,171,87,65,65,1,2
26,28,299,299,36,34,28,26,151,243,146,182,67,87,57,57,167,81,72,72,2,2
34,28,286,286,34,28,32,36,142,235,142,174,50,80,65,65,159,85,62,62,0,0
42,36,304,304,42,36,32,38,150,249,151,184,63,86,66,66,168,86,74,74,1,0
38,32,301,301,38,32,30,36,148,243,146,181,59,86,64,64,167,89,67,67,1,1
34,30,289,289,34,30,28,30,137,238,140,178,58,80,61,61,163,86,64,64,1,2
40,32,299,299,40,32,36,32,146,249,151,186,57,81,71,71,175,87,68,68,0,2
42,34,311,311,42,38,34,42,151,256,153,183,52,80,77,77,172,78,79,79,1,0
40,34,313,313,40,38,34,40,155,259,155,188,57,85,72,72,178,83,75,75,1,1
46,36,311,311,36,36,36,46,150,259,155,188,49,81,83,83,177,89,73,73,1,2
42,40,370,370,42,40,36,40,184,289,187,220,82,107,75,75,210,103,87,87,1,0
32,40,342,342,44,52,40,32,169,298,170,225,57,91,79,79,191,81,106,106,2,0
60,58,358,358,60,58,40,38,190,312,186,237,76,109,81,81,197,93,114,114,2,1
46,42,401,401,46,48,42,46,203,339,197,255,87,116,84,84,225,105,89,89,1,0
40,36,408,408,40,32,36,40,209,340,204,255,104,133,72,72,238,131,67,67,1,2
38,28,394,394,38,28,44,46,206,341,199,254,89,121,92,92,238,131,65,65,1,2
44,44,401,401,46,58,44,44,202,353,196,267,83,128,86,86,214,111,102,102,2,0
46,42,390,390,44,50,42,46,199,338,192,254,79,123,80,80,213,110,92,92,2,2
46,46,394,394,46,46,50,60,194,345,190,260,79,115,101,101,222,117,85,85,0,1
46,42,401,401,46,46,42,46,204,346,201,254,87,116,85,85,226,108,90,90,1,0
42,32,407,407,42,32,32,36,203,346,200,258,98,135,69,69,240,131,68,68,1,2
50,46,401,401,48,46,46,50,203,342,199,257,85,117,96,96,229,114,83,83,0,2
40,36,394,394,38,36,36,40,199,334,195,247,87,122,78,78,224,115,79,79,2,0
38,44,401,401,54,56,44,38,203,337,197,251,85,114,84,84,212,98,99,99,2,1
44,44,394,394,40,40,44,44,199,337,193,249,80,120,86,86,217,117,77,77,2,2
44,46,394,394,42,50,46,44,197,341,200,253,81,112,86,86,221,107,89,89,1,0
46,50,391,391,36,42,50,46,191,338,194,251,80,113,86,86,223,115,79,79,1,1
40,44,390,390,48,58,44,40,193,338,197,254,82,113,80,80,211,99,99,99,2,0
56,50,391,391,56,50,44,50,199,343,201,261,80,111,90,90,219,103,92,92,1,0
54,50,390,390,54,50,48,48,200,340,202,261,7,310,28,28,218,103,94,94,1,1
40,36,406,406,40,36,36,40,204,349,211,266,95,134,78,78,234,129,74,74,1,2
36,38,326,326,36,38,36,38,158,270,165,193,67,93,69,69,189,102,68,68,0,1
48,42,334,334,32,32,42,48,159,275,169,198,61,83,95,95,194,108,63,63,0,2
40,34,327,327,40,34,40,46,162,271,166,201,62,84,79,79,189,96,74,74,0,2
44,40,336,336,38,40,40,44,167,276,164,201,64,88,77,77,191,92,78,78,1,0
42,40,345,345,44,42,40,42,171,281,168,208,69,95,75,75,190,97,80,80,1,2
34,36,332,332,36,44,36,34,161,277,163,206,61,87,75,75,181,86,85,85,2,0
34,34,335,335,34,34,36,42,167,274,166,202,66,92,70,70,195,96,71,71,1,1
36,34,326,326,36,34,34,34,163,270,161,198,67,93,68,68,188,95,73,73,1,2
42,46,326,326,42,46,34,30,163,270,159,197,64,91,71,71,179,85,83,83,2,1
54,46,394,394,54,46,26,20,194,310,192,231,108,133,51,51,220,125,87,87,1,2
20,20,388,388,20,20,38,42,192,316,191,231,82,107,79,79,202,224,43,43,2,0
32,20,343,343,32,20,52,50,168,292,172,214,60,83,92,92,186,99,66,66,0,1
46,36,368,368,46,36,52,54,182,299,181,223,74,88,102,102,218,110,79,79,0,2
38,44,350,350,38,44,36,34,172,290,171,218,73,95,76,76,204,98,85,85,2,1
40,36,335,335,40,36,26,32,163,281,169,203,74,106,62,62,195,107,71,71,0,2
40,36,352,352,40,36,34,32,176,287,182,206,82,99,70,70,204,104,74,74,1,1
42,44,355,355,42,44,38,38,180,291,180,210,73,95,78,78,202,96,84,84,2,0
36,34,352,352,36,34,28,32,173,290,178,212,76,108,64,64,202,111,71,71,2,1
36,42,355,355,36,42,40,38,179,290,181,209,76,102,80,80,203,111,78,78,2,2
54,40,322,322,38,36,40,54,157,269,166,196,39,85,75,75,186,95,73,73,0,0
40,40,338,338,40,38,40,40,165,277,167,202,65,90,77,77,191,95,76,76,1,0
30,28,313,313,42,36,28,30,151,265,154,192,57,85,69,69,178,86,74,74,1,1
48,44,364,364,48,44,50,52,176,297,184,216,64,80,100,100,204,97,85,85,0,0
44,40,351,351,44,40,34,40,166,293,174,213,72,102,71,71,201,107,77,77,0,2
46,50,369,369,46,50,44,40,185,307,186,226,73,99,83,83,202,98,95,95,2,0
38,42,363,363,38,42,40,40,179,299,179,223,70,99,82,82,205,104,82,82,2,1
50,42,359,359,50,42,42,46,179,296,180,220,68,102,82,82,199,105,86,86,2,2
